duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
0,tcp,efs,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,17,1.0,1.0,0.0,0.0,0.12,0.06,0.0,255,8,0.03,0.06,0.0,0.0,1.0,1.0,0.0,0.0,dos
0,icmp,ecr_i,SF,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,436,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,dos
0,udp,private,SF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,0.0,0.0,0.0,0.0,0.45,0.35,0.0,255,9,0.04,0.22,1.0,0.0,0.0,0.0,0.0,0.0,probe
0,tcp,courier,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,19,1.0,1.0,0.0,0.0,0.13,0.05,0.0,255,19,0.07,0.07,0.0,0.0,1.0,1.0,0.0,0.0,dos
22156,tcp,private,RSTR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255,2,0.01,0.73,1.0,0.0,0.0,0.0,1.0,1.0,probe
0,tcp,http,SF,161,25028,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,14,0.0,0.0,0.0,0.07,1.0,0.0,0.29,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
10,tcp,ftp_data,SF,0,5155468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,r2l
0,tcp,ctf,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,65,2,0.02,1.0,0.02,1.0,0.0,0.0,0.97,1.0,probe
0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,3,1.0,1.0,0.0,0.0,0.01,0.07,0.0,255,6,0.02,0.06,0.0,0.0,1.0,1.0,0.0,0.0,dos
0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12,47,1.0,0.0,1.0,0.11,0.0,0.0,0.0,0.0,r2l
0,icmp,eco_i,SF,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4,188,1.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,probe
